sp,taxo,group_kernels,group_detection,group_atlas
Black-bellied Whistling-Duck,215,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Black-bellied Whistling-Duck,215.3,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Fulvous Whistling-Duck,217,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
whistling-duck sp.,223,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Swan Goose,227,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Swan Goose (Domestic type),227.3,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Taiga Bean-Goose,228,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Tundra Bean-Goose,232,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Taiga/Tundra Bean-Goose,235,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Pink-footed Goose,236,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Greater White-fronted Goose,237,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Greater White-fronted Goose,238,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Greater White-fronted Goose,239,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Greater White-fronted Goose,240,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Greater White-fronted Goose,243,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Graylag Goose,248,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Graylag Goose,249,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Graylag Goose (Domestic type),251,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Swan x Graylag Goose (Domestic type) (hybrid),251.5,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Bar-headed Goose,252,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Domestic goose sp. (Domestic type),252.7,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Anser sp.,252.9,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Emperor Goose,253,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Snow Goose,254,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Greater White-fronted x Snow Goose (hybrid),256.5,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Ross's Goose,259,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Snow x Ross's Goose (hybrid),259.5,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Snow/Ross's Goose,260,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Brant,261,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Brant,264,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Brant,266,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Brant,266.7,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Barnacle Goose,268,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Cackling Goose,271,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Cackling Goose,272,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Cackling Goose,273,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Cackling Goose,274,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Cackling Goose,276,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Greater White-fronted x Cackling Goose (hybrid),276.3,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Canada Goose,277,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Canada Goose,278,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Canada Goose,281,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Canada Goose,284,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Canada Goose,287,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Swan Goose (Domestic type) x Canada Goose (hybrid),287.1,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Greater White-fronted x Canada Goose (hybrid),287.4,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Graylag x Canada Goose (hybrid),287.5,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Graylag Goose (Domestic type) x Canada Goose (hybrid),287.6,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Domestic goose sp. (Domestic type) x Canada Goose (hybrid),287.65,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Snow x Canada Goose (hybrid),287.7,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Barnacle x Canada Goose (hybrid),287.9,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Cackling/Canada Goose,288,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Snow/Ross's x Cackling/Canada Goose (hybrid),288.5,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Red-breasted Goose,290,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Branta sp.,291,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
goose sp.,292,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Mute Swan,296,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Black Swan,297,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Trumpeter Swan,299,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Mute x Trumpeter Swan (hybrid),300,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Tundra Swan,302,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Tundra Swan,303,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Tundra Swan,304,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Trumpeter/Tundra Swan,305,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Whooper Swan,306,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
swan sp.,307,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Egyptian Goose,325,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
Ruddy Shelduck,326,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
South African Shelduck,327,waterfowl_dabbling,Waterfowl,Dabbling Waterfowl
